Date,Close
05AUG2016,2182.870117
06AUG2016,2182.870117
07AUG2016,2182.870117
08AUG2016,2180.889893
09AUG2016,2181.73999
10AUG2016,2175.48999
11AUG2016,2185.790039
12AUG2016,2184.050049
13AUG2016,2184.050049
14AUG2016,2184.050049
15AUG2016,2190.149902
16AUG2016,2178.149902
17AUG2016,2182.219971
18AUG2016,2187.02002
19AUG2016,2183.870117
20AUG2016,2183.870117
21AUG2016,2183.870117
22AUG2016,2182.639893
23AUG2016,2186.899902
24AUG2016,2175.439941
25AUG2016,2172.469971
26AUG2016,2169.040039
27AUG2016,2169.040039
28AUG2016,2169.040039
29AUG2016,2180.379883
30AUG2016,2176.120117
31AUG2016,2170.949951
01SEP2016,2170.860107
02SEP2016,2179.97998
03SEP2016,2179.97998
04SEP2016,2179.97998
05SEP2016,2179.97998
06SEP2016,2186.47998
07SEP2016,2186.159912
08SEP2016,2181.300049
09SEP2016,2127.810059
10SEP2016,2127.810059
11SEP2016,2127.810059
12SEP2016,2159.040039
13SEP2016,2127.02002
14SEP2016,2125.77002
15SEP2016,2147.26001
16SEP2016,2139.159912
17SEP2016,2139.159912
18SEP2016,2139.159912
19SEP2016,2139.120117
20SEP2016,2139.76001
21SEP2016,2163.120117
22SEP2016,2177.179932
23SEP2016,2164.689941
24SEP2016,2164.689941
25SEP2016,2164.689941
26SEP2016,2146.100098
27SEP2016,2159.929932
28SEP2016,2171.370117
29SEP2016,2151.129883
30SEP2016,2168.27002
01OCT2016,2168.27002
02OCT2016,2168.27002
03OCT2016,2161.199951
04OCT2016,2150.48999
05OCT2016,2159.72998
06OCT2016,2160.77002
07OCT2016,2153.73999
08OCT2016,2153.73999
09OCT2016,2153.73999
10OCT2016,2163.659912
11OCT2016,2136.72998
12OCT2016,2139.179932
13OCT2016,2132.550049
14OCT2016,2132.97998
15OCT2016,2132.97998
16OCT2016,2132.97998
17OCT2016,2126.5
18OCT2016,2139.600098
19OCT2016,2144.290039
20OCT2016,2141.340088
21OCT2016,2141.159912
22OCT2016,2141.159912
23OCT2016,2141.159912
24OCT2016,2151.330078
25OCT2016,2143.159912
26OCT2016,2139.429932
27OCT2016,2133.040039
28OCT2016,2126.409912
29OCT2016,2126.409912
30OCT2016,2126.409912
31OCT2016,2126.149902
01NOV2016,2111.719971
02NOV2016,2097.939941
03NOV2016,2088.659912
04NOV2016,2085.179932
05NOV2016,2085.179932
06NOV2016,2085.179932
07NOV2016,2131.52002
08NOV2016,2139.560059
09NOV2016,2163.26001
10NOV2016,2167.47998
11NOV2016,2164.449951
12NOV2016,2164.449951
13NOV2016,2164.449951
14NOV2016,2164.199951
15NOV2016,2180.389893
16NOV2016,2176.939941
17NOV2016,2187.120117
18NOV2016,2181.899902
19NOV2016,2181.899902
20NOV2016,2181.899902
21NOV2016,2198.179932
22NOV2016,2202.939941
23NOV2016,2204.719971
24NOV2016,2204.719971
25NOV2016,2213.350098
26NOV2016,2213.350098
27NOV2016,2213.350098
28NOV2016,2201.719971
29NOV2016,2204.659912
30NOV2016,2198.810059
01DEC2016,2191.080078
02DEC2016,2191.949951
03DEC2016,2191.949951
04DEC2016,2191.949951
05DEC2016,2204.709961
06DEC2016,2212.22998
07DEC2016,2241.350098
08DEC2016,2246.189941
09DEC2016,2259.530029
10DEC2016,2259.530029
11DEC2016,2259.530029
12DEC2016,2256.959961
13DEC2016,2271.719971
14DEC2016,2253.280029
15DEC2016,2262.030029
16DEC2016,2258.070068
17DEC2016,2258.070068
18DEC2016,2258.070068
19DEC2016,2262.530029
20DEC2016,2270.76001
21DEC2016,2265.179932
22DEC2016,2260.959961
23DEC2016,2263.790039
24DEC2016,2263.790039
25DEC2016,2263.790039
26DEC2016,2263.790039
27DEC2016,2268.879883
28DEC2016,2249.919922
29DEC2016,2249.26001
30DEC2016,2238.830078
31DEC2016,2238.830078
01JAN2017,2238.830078
02JAN2017,2238.830078
03JAN2017,2257.830078
04JAN2017,2270.75
05JAN2017,2269
06JAN2017,2276.97998
07JAN2017,2276.97998
08JAN2017,2276.97998
09JAN2017,2268.899902
10JAN2017,2268.899902
11JAN2017,2275.320068
12JAN2017,2270.439941
13JAN2017,2274.639893
14JAN2017,2274.639893
15JAN2017,2274.639893
16JAN2017,2274.639893
17JAN2017,2267.889893
18JAN2017,2271.889893
19JAN2017,2263.689941
20JAN2017,2271.310059
21JAN2017,2271.310059
22JAN2017,2271.310059
23JAN2017,2265.199951
24JAN2017,2280.070068
25JAN2017,2298.370117
26JAN2017,2296.679932
27JAN2017,2294.689941
28JAN2017,2294.689941
29JAN2017,2294.689941
30JAN2017,2280.899902
31JAN2017,2278.870117
01FEB2017,2279.550049
02FEB2017,2280.850098
03FEB2017,2297.419922
04FEB2017,2297.419922
05FEB2017,2297.419922
06FEB2017,2292.560059
07FEB2017,2293.080078
08FEB2017,2294.669922
