Date,Date2,FORECAST,STD,L95,U95,RESIDUAL
02MAR2016,02MAR2016,19837.552587,1411.318424,17071.419305,22603.685869,677.4474129
03MAR2016,03MAR2016,19958.825334,1411.318424,17192.692052,22724.958616,557.17466621
04MAR2016,04MAR2016,19431.83868,1411.318424,16665.705398,22197.971961,1085.1613203
05MAR2016,05MAR2016,19146.267926,1411.318424,16380.134645,21912.401208,1371.7320736
06MAR2016,06MAR2016,19474.265516,1411.318424,16708.132234,22240.398797,1044.7344844
07MAR2016,07MAR2016,19863.017993,1411.318424,17096.884712,22629.151275,656.98200651
08MAR2016,08MAR2016,19763.438361,1411.318424,16997.305079,22529.571642,757.56163942
09MAR2016,09MAR2016,19360.095151,1411.318424,16593.961869,22126.228432,1161.9048493
10MAR2016,10MAR2016,19262.422496,1411.318424,16496.289214,22028.555777,1260.5775044
11MAR2016,11MAR2016,19591.210897,1411.318424,16825.077615,22357.344179,932.78910319
12MAR2016,12MAR2016,19852.531791,1411.318424,17086.39851,22618.665073,672.46820861
13MAR2016,13MAR2016,19640.111796,1411.318424,16873.978514,22406.245078,885.888204
14MAR2016,14MAR2016,19305.469364,1411.318424,16539.336083,22071.602646,1221.5306356
15MAR2016,15MAR2016,19378.701889,1411.318424,16612.568607,22144.83517,1149.2981115
16MAR2016,16MAR2016,19709.098245,1411.318424,16942.964963,22475.231526,819.90175548
17MAR2016,17MAR2016,19776.776378,1411.318424,17010.643097,22542.90966,753.22362159
18MAR2016,18MAR2016,19516.193753,1411.318424,16750.060471,22282.327035,1014.8062471
19MAR2016,19MAR2016,19342.721254,1411.318424,16576.587972,22108.854536,1189.278746
20MAR2016,20MAR2016,19501.168398,1411.318424,16735.035116,22267.301679,1031.8316023
21MAR2016,21MAR2016,19730.403117,1411.318424,16964.269835,22496.536399,803.59688314
22MAR2016,22MAR2016,19695.707528,1411.318424,16929.574246,22461.84081,839.29247185
23MAR2016,23MAR2016,19463.289788,1411.318424,16697.156506,22229.42307,1072.7102118
24MAR2016,24MAR2016,19392.937308,1411.318424,16626.804026,22159.07059,1144.0626919
25MAR2016,25MAR2016,19585.963068,1411.318424,16819.829786,22352.09635,952.03693202
26MAR2016,26MAR2016,19732.822736,1411.318424,16966.689454,22498.956017,806.17726426
27MAR2016,27MAR2016,19615.765204,1411.318424,16849.631922,22381.898485,924.23479649
28MAR2016,28MAR2016,19436.051095,1411.318424,16669.917813,22202.184377,1104.9489049
29MAR2016,29MAR2016,19468.105087,1411.318424,16701.971805,22234.238369,1073.8949131
30MAR2016,30MAR2016,19645.401839,1411.318424,16879.268557,22411.535121,897.59816082
31MAR2016,31MAR2016,19693.930796,1411.318424,16927.797514,22460.064078,850.06920385
01APR2016,01APR2016,19557.255135,1411.318424,16791.121853,22323.388417,987.74486514
02APR2016,02APR2016,19452.247293,1411.318424,16686.114011,22218.380574,1093.7527073
03APR2016,03APR2016,19532.20078,1411.318424,16766.067498,22298.334062,1014.7992199
04APR2016,04APR2016,19667.989643,1411.318424,16901.856361,22434.122925,880.01035719
05APR2016,05APR2016,19654.072041,1411.318424,16887.938759,22420.205323,894.92795904
06APR2016,06APR2016,19522.53155,1411.318424,16756.398269,22288.664832,1027.4684496
07APR2016,07APR2016,19481.390448,1411.318424,16715.257166,22247.52373,1069.6095522
08APR2016,08APR2016,19586.570627,1411.318424,16820.437346,22352.703909,965.42937254
09APR2016,09APR2016,19670.026707,1411.318424,16903.893426,22436.159989,882.97329257
10APR2016,10APR2016,19610.714646,1411.318424,16844.581364,22376.847928,943.28535424
11APR2016,11APR2016,19511.207458,1411.318424,16745.074177,22277.34074,1043.7925416
12APR2016,12APR2016,19523.228905,1411.318424,16757.095623,22289.362187,1032.7710951
13APR2016,13APR2016,19620.553591,1411.318424,16854.420309,22386.686872,936.44640926
14APR2016,14APR2016,19654.26087,1411.318424,16888.127588,22420.394151,903.73913047
15APR2016,15APR2016,19580.720297,1411.318424,16814.587015,22346.853579,978.27970304
16APR2016,16APR2016,19518.397548,1411.318424,16752.264266,22284.530829,1041.6024523
17APR2016,17APR2016,19560.981907,1411.318424,16794.848625,22327.115189,1000.0180931
18APR2016,18APR2016,19638.51318,1411.318424,16872.379898,22404.646461,923.48682037
19APR2016,19APR2016,19633.820529,1411.318424,16867.687247,22399.953811,929.17947076
20APR2016,20APR2016,19561.799717,1411.318424,16795.666436,22327.932999,1002.2002826
