DATE_WEEK_START,VOLUME,FORECAST,STD,L95,U95,RESIDUAL
2017-01-22,3983,3866,800.56925272,2296.9130975,5435.0869025,117
2017-01-29,3169,3917,800.56925272,2347.9130975,5486.0869025,-748
2017-02-05,3282,2790,800.56925272,1220.9130975,4359.0869025,492
2017-02-12,3047,3600,800.56925272,2030.9130975,5169.0869025,-553
2017-02-19,3517,3326,800.56925272,1756.9130975,4895.0869025,191
2017-02-26,3704,3202,800.56925272,1632.9130975,4771.0869025,502
2017-03-05,4034,4061,800.56925272,2491.9130975,5630.0869025,-27
2017-03-12,3936,3743,800.56925272,2173.9130975,5312.0869025,193
2017-03-19,4115,4048,800.56925272,2478.9130975,5617.0869025,67
2017-03-26,4397,4950,800.56925272,3380.9130975,6519.0869025,-553
2017-04-02,5050,4126,800.56925272,2556.9130975,5695.0869025,924
2017-04-09,4703,4114,800.56925272,2544.9130975,5683.0869025,589
2017-04-16,4394,4436,800.56925272,2866.9130975,6005.0869025,-42
2017-04-23,5013,5486,800.56925272,3916.9130975,7055.0869025,-473
2017-04-30,5400,5723,800.56925272,4153.9130975,7292.0869025,-323
2017-05-07,4773,5272,800.56925272,3702.9130975,6841.0869025,-499
2017-05-14,5233,4940,800.56925272,3370.9130975,6509.0869025,293
2017-05-21,5120,5523,800.56925272,3953.9130975,7092.0869025,-403
2017-05-28,4576,4854,800.56925272,3284.9130975,6423.0869025,-278
2017-06-04,5512,5257,800.56925272,3687.9130975,6826.0869025,255
2017-06-11,5306,5075,800.56925272,3505.9130975,6644.0869025,231
2017-06-18,5544,5117,800.56925272,3547.9130975,6686.0869025,427
2017-06-25,5921,5679,800.56925272,4109.9130975,7248.0869025,242
2017-07-02,4625,5247,800.56925272,3677.9130975,6816.0869025,-622
2017-07-09,5939,5138,800.56925272,3568.9130975,6707.0869025,801
2017-07-16,5839,5988,800.56925272,4418.9130975,7557.0869025,-149
2017-07-23,5753,5741,800.56925272,4171.9130975,7310.0869025,12
2017-07-30,5534,5875,800.56925272,4305.9130975,7444.0869025,-341
2017-08-06,5444,5807,800.56925272,4237.9130975,7376.0869025,-363
2017-08-13,5371,5314,800.56925272,3744.9130975,6883.0869025,57
2017-08-20,5218,5097,800.56925272,3527.9130975,6666.0869025,121
2017-08-27,5205,5838,800.56925272,4268.9130975,7407.0869025,-633
2017-09-03,4358,4752,800.56925272,3182.9130975,6321.0869025,-394
2017-09-10,5087,4309,800.56925272,2739.9130975,5878.0869025,778
2017-09-17,4980,4678,800.56925272,3108.9130975,6247.0869025,302
2017-09-24,4604,4838,800.56925272,3268.9130975,6407.0869025,-234
2017-10-01,4600,4836,800.56925272,3266.9130975,6405.0869025,-236
2017-10-08,4271,4488,800.56925272,2918.9130975,6057.0869025,-217
2017-10-15,4136,4421,800.56925272,2851.9130975,5990.0869025,-285
2017-10-22,3757,4216,800.56925272,2646.9130975,5785.0869025,-459
2017-10-29,2321,3353,800.56925272,1783.9130975,4922.0869025,-1032
2017-11-05,3317,2056,800.56925272,486.91309753,3625.0869025,1261
2017-11-12,3479,3596,800.56925272,2026.9130975,5165.0869025,-117
2017-11-19,2340,1989,800.56925272,419.91309753,3558.0869025,351
2017-11-26,3670,3853,800.56925272,2283.9130975,5422.0869025,-183
2017-12-03,3441,2537,800.56925272,967.91309753,4106.0869025,904
2017-12-10,2332,4159,800.56925272,2589.9130975,5728.0869025,-1827
2017-12-17,2009,3394,800.56925272,1824.9130975,4963.0869025,-1385
2017-12-24,2089,727,800.56925272,-842.0869025,2296.0869025,1362
2017-12-31,3639,3097,800.56925272,1527.9130975,4666.0869025,542
2018-01-07,3635,3198,800.56925272,1628.9130975,4767.0869025,437
2018-01-14,2673,3290,800.56925272,1720.9130975,4859.0869025,-617
2018-01-21,3911,2901,800.56925272,1331.9130975,4470.0869025,1010
2018-01-28,3284,3097,800.56925272,1527.9130975,4666.0869025,187
2018-02-04,3192,3397,800.56925272,1827.9130975,4966.0869025,-205
2018-02-11,3961,2957,800.56925272,1387.9130975,4526.0869025,1004
2018-02-18,4400,4431,800.56925272,2861.9130975,6000.0869025,-31
2018-02-25,4411,4587,800.56925272,3017.9130975,6156.0869025,-176
2018-03-04,3643,4741,800.56925272,3171.9130975,6310.0869025,-1098
2018-03-11,3759,3545,800.56925272,1975.9130975,5114.0869025,214
2018-03-18,3688,3938,800.56925272,2368.9130975,5507.0869025,-250
2018-03-25,3398,3970,800.56925272,2400.9130975,5539.0869025,-572
2018-04-01,4835,4051,800.56925272,2481.9130975,5620.0869025,784
2018-04-08,4396,4488,800.56925272,2918.9130975,6057.0869025,-92
2018-04-15,5002,4087,800.56925272,2517.9130975,5656.0869025,915
2018-04-22,5058,5621,800.56925272,4051.9130975,7190.0869025,-563
2018-04-29,5511,5445,800.56925272,3875.9130975,7014.0869025,66
2018-05-06,5113,4884,800.56925272,3314.9130975,6453.0869025,229
2018-05-13,5525,5573,800.56925272,4003.9130975,7142.0869025,-48
2018-05-20,5264,5412,800.56925272,3842.9130975,6981.0869025,-148
2018-05-27,4752,4720,800.56925272,3150.9130975,6289.0869025,32
2018-06-03,5894,5688,800.56925272,4118.9130975,7257.0869025,206
2018-06-10,5304,5688,800.56925272,4118.9130975,7257.0869025,-384
2018-06-17,5467,5542,800.56925272,3972.9130975,7111.0869025,-75
2018-06-24,5667,5844,800.56925272,4274.9130975,7413.0869025,-177
2018-07-01,5517,4371,800.56925272,2801.9130975,5940.0869025,1146
2018-07-08,5671,6831,800.56925272,5261.9130975,8400.0869025,-1160
2018-07-15,5256,5571,800.56925272,4001.9130975,7140.0869025,-315
2018-07-22,5190,5170,800.56925272,3600.9130975,6739.0869025,20
2018-07-29,5239,4971,800.56925272,3401.9130975,6540.0869025,268
2018-08-05,4825,5149,800.56925272,3579.9130975,6718.0869025,-324
2018-08-12,4749,4752,800.56925272,3182.9130975,6321.0869025,-3
2018-08-19,5215,4596,800.56925272,3026.9130975,6165.0869025,619
2018-08-26,5248,5202,800.56925272,3632.9130975,6771.0869025,46
2018-09-02,4826,4401,800.56925272,2831.9130975,5970.0869025,425
2018-09-09,5360,5555,800.56925272,3985.9130975,7124.0869025,-195
2018-09-16,4996,5253,800.56925272,3683.9130975,6822.0869025,-257
2018-09-23,4279,4620,800.56925272,3050.9130975,6189.0869025,-341
2018-09-30,4364,4275,800.56925272,2705.9130975,5844.0869025,89
2018-10-07,3981,4035,800.56925272,2465.9130975,5604.0869025,-54
2018-10-14,3980,3846,800.56925272,2276.9130975,5415.0869025,134
2018-10-21,3882,3601,800.56925272,2031.9130975,5170.0869025,281
2018-10-28,3782,2446,800.56925272,876.91309753,4015.0869025,1336
2018-11-04,3596,4778,800.56925272,3208.9130975,6347.0869025,-1182
2018-11-11,3096,3758,800.56925272,2188.9130975,5327.0869025,-662
2018-11-18,2382,1957,800.56925272,387.91309753,3526.0869025,425
2018-11-25,3859,3712,800.56925272,2142.9130975,5281.0869025,147
2018-12-02,3355,3630,800.56925272,2060.9130975,5199.0869025,-275
2018-12-09,3144,2246,800.56925272,676.91309753,3815.0869025,898
2018-12-16,2867,2821,800.56925272,1251.9130975,4390.0869025,46
2018-12-23,2247,2947,800.56925272,1377.9130975,4516.0869025,-700
2018-12-30,3004,3797,800.56925272,2227.9130975,5366.0869025,-793
2019-01-06,3678,3000,800.56925272,1430.9130975,4569.0869025,678
2019-01-13,3208,2716,800.56925272,1146.9130975,4285.0869025,492
2019-01-20,3247,4446,800.56925272,2876.9130975,6015.0869025,-1199
2019-01-27,3027,2620,800.56925272,1050.9130975,4189.0869025,407
2019-02-03,4566,2935,800.56925272,1365.9130975,4504.0869025,1631
2019-02-10,4398,5335,800.56925272,3765.9130975,6904.0869025,-937
2019-02-17,4556,4837,800.56925272,3267.9130975,6406.0869025,-281
2019-02-24,5028,4567,800.56925272,2997.9130975,6136.0869025,461
2019-03-03,4542,4260,800.56925272,2690.9130975,5829.0869025,282
2019-03-10,5667,4658,800.56925272,3088.9130975,6227.0869025,1009
2019-03-17,5984,5596,800.56925272,4026.9130975,7165.0869025,388
2019-03-24,5630,5694,800.56925272,4124.9130975,7263.0869025,-64
2019-03-31,5585,7067,800.56925272,5497.9130975,8636.0869025,-1482
2019-04-07,4624,5146,800.56925272,3576.9130975,6715.0869025,-522
2019-04-14,4094,5230,800.56925272,3660.9130975,6799.0869025,-1136
2019-04-21,5155,4150,800.56925272,2580.9130975,5719.0869025,1005
2019-04-28,4741,5608,800.56925272,4038.9130975,7177.0869025,-867
2019-05-05,4665,4343,800.56925272,2773.9130975,5912.0869025,322
2019-05-12,4688,5077,800.56925272,3507.9130975,6646.0869025,-389
2019-05-19,4694,4427,800.56925272,2857.9130975,5996.0869025,267
2019-05-26,4817,4182,800.56925272,2612.9130975,5751.0869025,635
2019-06-02,5581,5959,800.56925272,4389.9130975,7528.0869025,-378
2019-06-09,5528,4991,800.56925272,3421.9130975,6560.0869025,537
2019-06-16,5142,5691,800.56925272,4121.9130975,7260.0869025,-549
2019-06-23,5300,5342,800.56925272,3772.9130975,6911.0869025,-42
2019-06-30,4506,5150,800.56925272,3580.9130975,6719.0869025,-644
2019-07-07,5727,4660,800.56925272,3090.9130975,6229.0869025,1067
2019-07-14,5311,5312,800.56925272,3742.9130975,6881.0869025,-1
2019-07-21,5539,5245,800.56925272,3675.9130975,6814.0869025,294
2019-07-28,5383,5588,800.56925272,4018.9130975,7157.0869025,-205
2019-08-04,5353,4969,800.56925272,3399.9130975,6538.0869025,384
2019-08-11,5077,5277,800.56925272,3707.9130975,6846.0869025,-200
2019-08-18,4899,5543,800.56925272,3973.9130975,7112.0869025,-644
2019-08-25,4842,4932,800.56925272,3362.9130975,6501.0869025,-90
2019-09-01,4451,4420,800.56925272,2850.9130975,5989.0869025,31
2019-09-08,4720,4985,800.56925272,3415.9130975,6554.0869025,-265
2019-09-15,5036,4356,800.56925272,2786.9130975,5925.0869025,680
2019-09-22,4313,4319,800.56925272,2749.9130975,5888.0869025,-6
2019-09-29,4293,4398,800.56925272,2828.9130975,5967.0869025,-105
2019-10-06,4320,3910,800.56925272,2340.9130975,5479.0869025,410
2019-10-13,3672,4319,800.56925272,2749.9130975,5888.0869025,-647
2019-10-20,3967,3574,800.56925272,2004.9130975,5143.0869025,393
2019-10-27,3470,3867,800.56925272,2297.9130975,5436.0869025,-397
2019-11-03,3499,3284,800.56925272,1714.9130975,4853.0869025,215
2019-11-10,3005,2999,800.56925272,1429.9130975,4568.0869025,6
2019-11-17,3911,2291,800.56925272,721.91309753,3860.0869025,1620
2019-11-24,2576,5388,800.56925272,3818.9130975,6957.0869025,-2812
2019-12-01,3995,2072,800.56925272,502.91309753,3641.0869025,1923
2019-12-08,3672,3784,800.56925272,2214.9130975,5353.0869025,-112
2019-12-15,3082,3395,800.56925272,1825.9130975,4964.0869025,-313
2019-12-22,2377,2462,800.56925272,892.91309753,4031.0869025,-85
2019-12-29,3196,3134,800.56925272,1564.9130975,4703.0869025,62
2020-01-05,3827,3870,800.56925272,2300.9130975,5439.0869025,-43
2020-01-12,3066,3357,800.56925272,1787.9130975,4926.0869025,-291
2020-01-19,3735,3105,800.56925272,1535.9130975,4674.0869025,630
2020-01-26,3369,3515,800.56925272,1945.9130975,5084.0869025,-146
2020-02-02,3323,4908,800.56925272,3338.9130975,6477.0869025,-1585
2020-02-09,3011,3155,800.56925272,1585.9130975,4724.0869025,-144
2020-02-16,3131,3169,800.56925272,1599.9130975,4738.0869025,-38
2020-02-23,3204,3603,800.56925272,2033.9130975,5172.0869025,-399
2020-03-01,4239,2718,800.56925272,1148.9130975,4287.0869025,1521
2020-03-08,3904,5364,800.56925272,3794.9130975,6933.0869025,-1460
2020-03-15,2686,4221,800.56925272,2651.9130975,5790.0869025,-1535
2020-03-22,1532,2332,800.56925272,762.91309753,3901.0869025,-800
